game_id,week,team,epa_total,jogadas,epa_scrimmage,jogadas_scrimmage,season
2017_04_CIN_CLE,4,CLE,-18.30834634102886,81,-18.295851973461566,61,2017
2017_04_DET_MIN,4,DET,-9.020073073290288,86,-6.184761256368816,66,2017
2017_04_DET_MIN,4,MIN,-21.223056837623357,69,-19.661269858878118,54,2017
2017_04_IND_SEA,4,IND,-16.352190258766573,79,-15.616690202453483,58,2017
2017_04_IND_SEA,4,SEA,14.776472213418911,83,18.46698441301425,63,2017
2017_04_JAX_NYJ,4,JAX,-13.236032407933479,99,-11.545862267082974,74,2017
2017_04_JAX_NYJ,4,NYJ,-11.3940760433605,95,-7.530665082685838,68,2017
2017_04_LA_DAL,4,DAL,11.910797989436421,88,10.648284426618368,65,2017
2017_04_LA_DAL,4,LA,23.631892733113528,91,10.313654494521021,67,2017
2017_04_NO_MIA,4,MIA,-15.843710042478051,64,-12.918901900120545,47,2017
2017_04_NO_MIA,4,NO,7.110011332698535,88,9.179860626163654,69,2017
2017_04_NYG_TB,4,NYG,-1.1771882819874255,97,2.7944589476036508,77,2017
2017_04_NYG_TB,4,TB,-1.802354205733263,80,5.363180022402245,61,2017
2017_04_OAK_DEN,4,DEN,-6.149653079875328,84,-2.5902728826540216,59,2017
2017_04_OAK_DEN,4,LV,-12.519627840213992,71,-13.40287451553319,53,2017
2017_04_PHI_LAC,4,LAC,12.554898975688094,79,10.43416188101201,53,2017
2017_04_PHI_LAC,4,PHI,20.185086165410368,92,16.710011820841487,72,2017
2017_04_PIT_BAL,4,BAL,-20.148161357981618,85,-18.74219159879299,67,2017
2017_04_PIT_BAL,4,PIT,1.354527360950034,92,5.8587678364811815,73,2017
2017_04_SF_ARI,4,ARI,-4.579491622163914,105,-7.693372484376596,78,2017
2017_04_SF_ARI,4,SF,-5.8314904001308605,106,-9.97529620938975,79,2017
2017_04_TEN_HOU,4,HOU,26.67709415541247,103,17.482392177012876,78,2017
